"";"Data";"Hora";"Nome";"Idade";"Sexo";"Crime";"Tipo";"Cidade";"Bairro"
"278";"20/03/2021 ";"10";"NI";"35";"Masculino";"Homicídio";"PAF";"São Sebastião";"Zona Rural"
"279";"20/03/2021 ";"19";"Parda";"18";"Masculino";"Homicídio";"PAF";"São Miguel dos Campos";"Zona Rural"
"280";"20/03/2021 ";"20";"Preta";"25";"Masculino";"Homicídio";"PAF";"Maribondo";"Centro"
"281";"20/03/2021 ";"20";"NI";"15";"Masculino";"Homicídio";"PAF";"Maribondo";"Centro"
"282";"20/03/2021 ";"20";"Parda";"24";"Masculino";"Homicídio";"PAF";"Maribondo";"Centro"
"283";"20/03/2021 ";"21";"NI";"34";"Masculino";"Homicídio";"PAF";"Boca da Mata";"Centro"
"284";"21/03/2021 ";"06";"Parda";"25";"Masculino";"Homicídio";"PAF";"Maceió";"Tabuleiro do Martins"
"285";"21/03/2021 ";"11";"Parda";"39";"Masculino";"Homicídio";"ESPANCAMEN";"Arapiraca";"Primavera"
"286";"21/03/2021 ";"18";"Parda";"29";"Masculino";"Homicídio";"PAF";"Maceió";"Tabuleiro do Martins"
"287";"21/03/2021 ";"19";"Parda";"25";"Masculino";"Homicídio";"ESPANCAMEN";"Maceió";"Centro"
"288";"21/03/2021 ";"21";"Parda";"35";"Masculino";"Homicídio";"PAF";"Murici";"Centro"
"289";"22/03/2021 ";"00";"NI";"25";"Masculino";"Homicídio";"PAF";"Rio Largo";"Tabuleiro do Pinto"
"290";"22/03/2021 ";"20";"NI";"40";"Masculino";"Homicídio";"PAF";"Maribondo";"Centro"
"291";"23/03/2021 ";"23";"NI";"33";"Masculino";"Homicídio";"PAF";"São Luís do Quitunde";"Zona Rural"
"292";"24/03/2021 ";"12";"NI";"32";"Masculino";"Resistência com Resultado Morte";"PAF";"Zona Rural";"Maragogi"
"293";"24/03/2021 ";"17";"Parda";"22";"Masculino";"Homicídio";"PAF";"Paripueira";"Zona Rural"
"294";"24/03/2021 ";"19";"NI";"27";"Masculino";"Roubo com Resultado Morte";"PAF";"Arapiraca";"Sítio Fernandes"
"295";"24/03/2021 ";"21";"Parda";"21";"Masculino";"Homicídio";"PAF";"Arapiraca";"Senador Nilo Coelho"
"296";"26/03/2021 ";"20";"Parda";"20";"Masculino";"Homicídio";"PAF";"Zona Rural";"Maragogi"
"297";"27/03/2021 ";"10";"Parda";"46";"Masculino";"Resistência com Resultado Morte";"PAF";"Igreja Nova";"Zona Rural"
"298";"27/03/2021 ";"10";"Parda";"19";"Masculino";"Resistência com Resultado Morte";"PAF";"Igreja Nova";"Zona Rural"
"299";"27/03/2021 ";"15";"Parda";"16";"Masculino";"Homicídio";"PAF";"Flexeiras";"Centro"
"300";"27/03/2021 ";"20";"NI";"28";"Masculino";"Homicídio";"PAF";"Zona Rural";"Maragogi"
"301";"27/03/2021 ";"22";"NI";"21";"Feminino";"Feminicídio";"PAF";"Maceió";"Jacintinho"
"302";"28/03/2021 ";"10";"NI";"31";"Masculino";"Homicídio";"ESPANCAMEN";"Arapiraca";"Sítio Poção"
"303";"28/03/2021 ";"15";"Parda";"19";"Masculino";"Homicídio";"PAF";"Marechal Deodoro";"Zona Rural"
"304";"28/03/2021 ";"16";"Parda";"25";"Masculino";"Homicídio";"PAF";"Girau do Ponciano";"Zona Rural"
"305";"28/03/2021 ";"17";"NI";"28";"Masculino";"Homicídio";"PAF";"Maceió";"Fernão Velho"
"306";"29/03/2021 ";"16";"NI";"69";"Feminino";"Homicídio";"BRANCA";"Maceió";"Trapiche da Barra"
"307";"31/03/2021 ";"09";"Parda";"32";"Feminino";"Feminicídio";"BRANCA";"Zona Rural";"Tanque d Arca"
"308";"31/03/2021 ";"11";"Branca";"36";"Masculino";"Homicídio";"PAF";"Penedo";"Centro Histórico"
"309";"31/03/2021 ";"13";"NI";"";"Masculino";"Resistência com Resultado Morte";"PAF";"Zona Rural";"Pindoba"
"310";"31/03/2021 ";"14";"NI";"53";"Masculino";"Homicídio";"PAF";"Mata Grande";"Zona Rural"
"311";"31/03/2021 ";"14";"Parda";"19";"Masculino";"Homicídio";"PAF";"Pilar";"Chã do Pilar"
"312";"31/03/2021 ";"22";"NI";"62";"Masculino";"Homicídio";"PAF";"Porto Real do Colégio";"Zona Rural"
"313";"31/03/2021 ";"23";"NI";"24";"Masculino";"Homicídio";"PAF";"Girau do Ponciano";"Centro"
"314";"31/03/2021 ";"23";"Parda";"19";"Masculino";"Homicídio";"PAF";"Maceió";"Tabuleiro do Martins"
"315";"02/04/2021 ";"10";"Parda";"22";"Masculino";"Homicídio";"PAF";"Maceió";"Tabuleiro do Martins"
"316";"02/04/2021 ";"11";"Branca";"43";"Feminino";"Homicídio";"BRANCA";"Delmiro Gouveia";"Centro"
"317";"02/04/2021 ";"11";"Preta";"36";"Masculino";"Homicídio";"BRANCA";"Penedo";"Raimundo Marinho"
"318";"02/04/2021 ";"18";"Branca";"32";"Masculino";"Homicídio";"PAF";"Maceió";"Benedito Bentes"
"319";"02/04/2021 ";"19";"Parda";"36";"Masculino";"Homicídio";"PAF";"Junqueiro";"Centro"
"320";"02/04/2021 ";"19";"Parda";"";"Masculino";"Homicídio";"PAF";"Junqueiro";"Centro"
"321";"03/04/2021 ";"01";"Preta";"22";"Masculino";"Homicídio";"PAF";"Barra de Santo Antônio";"Centro"
"322";"03/04/2021 ";"04";"Parda";"19";"Masculino";"Homicídio";"ESPANCAMEN";"Maceió";"Jacintinho"
"323";"04/04/2021 ";"18";"Parda";"19";"Masculino";"Homicídio";"BRANCA";"Zona Rural";"Atalaia"
"324";"06/04/2021 ";"13";"Preta";"22";"Masculino";"Resistência com Resultado Morte";"PAF";"São Miguel dos Campos";"Centro"
"325";"06/04/2021 ";"16";"Parda";"31";"Masculino";"Homicídio";"NI";"Marechal Deodoro";"Zona Rural"
"326";"06/04/2021 ";"20";"Preta";"17";"Masculino";"Homicídio";"PAF";"Maceió";"Jacintinho"
"327";"06/04/2021 ";"20";"Parda";"36";"Masculino";"Homicídio";"PAF";"São José da Tapera";"Centro"
"328";"07/04/2021 ";"01";"Parda";"50";"Masculino";"Homicídio";"ESPANCAMEN";"Maceió";"Jacintinho"
"329";"07/04/2021 ";"10";"Parda";"";"Masculino";"Homicídio";"NI";"Paripueira";"Zona Rural"
"330";"07/04/2021 ";"14";"Parda";"21";"Masculino";"Resistência com Resultado Morte";"PAF";"Zona Rural";"Atalaia"
"331";"07/04/2021 ";"21";"Parda";"21";"Masculino";"Homicídio";"PAF";"Maceió";"Ponta Grossa"
"332";"07/04/2021 ";"21";"Parda";"33";"Masculino";"Homicídio";"PAF";"Maceió";"Pajuçara"
"333";"08/04/2021 ";"06";"Parda";"33";"Masculino";"Homicídio";"BRANCA";"União dos Palmares";"Santa Fé"
"334";"08/04/2021 ";"11";"Parda";"";"Masculino";"Homicídio";"ESPANCAMEN";"São Sebastião";"Zona Rural"
"335";"10/04/2021 ";"18";"Parda";"51";"Masculino";"Homicídio";"BRANCA";"Maceió";"Clima Bom"
"336";"10/04/2021 ";"18";"Parda";"29";"Masculino";"Homicídio";"PAF";"Campo Alegre";"Zona Rural"
"337";"11/04/2021 ";"07";"Parda";"22";"Masculino";"Homicídio";"BRANCA";"Zona Rural";"Maravilha"
"338";"13/04/2021 ";"10";"Parda";"";"Masculino";"Homicídio";"PAF";"Maceió";"Santa Lúcia"
"339";"13/04/2021 ";"15";"Parda";"17";"Masculino";"Homicídio";"PAF";"Arapiraca";"João Paulo II"
"340";"13/04/2021 ";"19";"Preta";"39";"Masculino";"Homicídio";"BRANCA";"União dos Palmares";"Santa Fé"
